myopia,averaged_posterior_probability
0.0,9.864928778770902e-34
0.010101010101010102,9.180992866042491e-34
0.020202020202020204,5.85591194619583e-33
0.030303030303030304,7.381717809676926e-33
0.04040404040404041,1.012205385998254e-31
0.05050505050505051,2.7354914201298233e-32
0.06060606060606061,5.839577641754897e-32
0.07070707070707072,1.7343557121438165e-31
0.08080808080808081,1.5145635384341395e-30
0.09090909090909091,1.0723575875799236e-30
0.10101010101010102,1.0347879672033857e-30
0.11111111111111112,2.754137019184e-30
0.12121212121212122,1.1539654664965846e-29
0.13131313131313133,1.562208109283613e-29
0.14141414141414144,3.822470351692808e-29
0.15151515151515152,1.3459128844940345e-28
0.16161616161616163,1.557003090811007e-28
0.17171717171717174,3.0966037455187142e-28
0.18181818181818182,2.331076820686952e-28
0.19191919191919193,1.3748013906466925e-27
0.20202020202020204,2.6299734983803805e-27
0.21212121212121213,8.168904518861127e-27
0.22222222222222224,1.1715112593165909e-26
0.23232323232323235,1.736529656010998e-26
0.24242424242424243,3.6502291946070493e-26
0.25252525252525254,5.2611073496218775e-25
0.26262626262626265,2.613718871899776e-25
0.27272727272727276,1.6679642246178272e-25
0.2828282828282829,7.541304876034267e-25
0.29292929292929293,1.809144530573857e-24
0.30303030303030304,1.1533849844530488e-23
0.31313131313131315,1.462582103023455e-23
0.32323232323232326,3.1506758398898215e-23
0.33333333333333337,9.368062904899493e-23
0.3434343434343435,1.1930506215302353e-22
0.3535353535353536,2.132455610405745e-22
0.36363636363636365,7.867593868759257e-22
0.37373737373737376,4.888289928030809e-22
0.38383838383838387,1.3807629382428695e-21
0.393939393939394,5.971825535089416e-21
0.4040404040404041,1.8818889921341883e-20
0.4141414141414142,2.862856962495407e-20
0.42424242424242425,3.7447443770721313e-20
0.43434343434343436,1.241760028030656e-19
0.4444444444444445,4.2255284241099853e-19
0.4545454545454546,5.286398828827041e-19
0.4646464646464647,6.720809642789723e-19
0.4747474747474748,1.3920217351437537e-18
0.48484848484848486,7.111213741785467e-18
0.494949494949495,9.176065049268587e-18
0.5050505050505051,2.9086018972018336e-17
0.5151515151515152,2.078055891849795e-17
0.5252525252525253,7.2612756762368e-17
0.5353535353535354,1.264654266408594e-16
0.5454545454545455,4.456604183069103e-16
0.5555555555555556,5.581470698953438e-16
0.5656565656565657,2.6721929080398467e-15
0.5757575757575758,7.361597675198829e-15
0.5858585858585859,4.266291423994877e-15
0.595959595959596,1.2467061666868964e-14
0.6060606060606061,4.130812677137737e-14
0.6161616161616162,9.05161879949612e-14
0.6262626262626263,1.5988362683015151e-13
0.6363636363636365,4.959183071594355e-13
0.6464646464646465,8.116454619168166e-13
0.6565656565656566,1.4624527044357773e-12
0.6666666666666667,2.9429936166550448e-12
0.6767676767676768,6.117637977292766e-12
0.686868686868687,1.1812175593820347e-11
0.696969696969697,4.0067951415315576e-11
0.7070707070707072,7.05512200489261e-11
0.7171717171717172,1.2863450874464072e-10
0.7272727272727273,3.988778113120862e-10
0.7373737373737375,1.6877954884130116e-10
0.7474747474747475,1.470256079537537e-09
0.7575757575757577,4.832387857037466e-09
0.7676767676767677,6.470740139918358e-09
0.7777777777777778,1.5684173545271788e-08
0.787878787878788,3.21986627105305e-08
0.797979797979798,6.399772978233186e-08
0.8080808080808082,1.3752825660477288e-07
0.8181818181818182,2.5792063312507346e-07
0.8282828282828284,7.395340963891949e-07
0.8383838383838385,1.7304925157053528e-06
0.8484848484848485,3.5637710926131483e-06
0.8585858585858587,7.688895726481551e-06
0.8686868686868687,1.710399006785518e-05
0.8787878787878789,3.4562079524073015e-05
0.888888888888889,7.243726343519625e-05
0.8989898989898991,0.0001696949726916573
0.9090909090909092,0.0003971534243741126
0.9191919191919192,0.0009075859734829185
0.9292929292929294,0.0020207339228533396
0.9393939393939394,0.004318239559325545
0.9494949494949496,0.009873775380358128
0.9595959595959597,0.021801791169090423
0.9696969696969697,0.048375262464204906
0.9797979797979799,0.10870804467868363
0.98989898989899,0.2457195405531405
1.0,0.557569830941623
