myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,8.124081097638625e-19,police car,200,100
0.0,0.010101010101010102,6.027453469900058e-20,police car,200,100
0.0,0.020202020202020204,6.521565544366125e-20,police car,200,100
0.0,0.030303030303030304,1.2773393554914156e-19,police car,200,100
0.0,0.04040404040404041,2.3470613450037147e-19,police car,200,100
0.0,0.05050505050505051,3.181219290517871e-19,police car,200,100
0.0,0.06060606060606061,1.9240593959525366e-19,police car,200,100
0.0,0.07070707070707072,5.734448955660805e-19,police car,200,100
0.0,0.08080808080808081,3.0438575332136076e-20,police car,200,100
0.0,0.09090909090909091,2.630599334890272e-19,police car,200,100
0.0,0.10101010101010102,3.897685880501711e-19,police car,200,100
0.0,0.11111111111111112,2.5115912050024112e-20,police car,200,100
0.0,0.12121212121212122,1.3707932801745625e-19,police car,200,100
0.0,0.13131313131313133,1.3529531923928339e-19,police car,200,100
0.0,0.14141414141414144,5.674061440322691e-20,police car,200,100
0.0,0.15151515151515152,3.1914515439663867e-19,police car,200,100
0.0,0.16161616161616163,1.8140162391063461e-19,police car,200,100
0.0,0.17171717171717174,6.032822813517362e-20,police car,200,100
0.0,0.18181818181818182,8.919870306259728e-20,police car,200,100
0.0,0.19191919191919193,3.1884420497338994e-19,police car,200,100
0.0,0.20202020202020204,1.890324461005868e-19,police car,200,100
0.0,0.21212121212121213,5.466397493599407e-19,police car,200,100
0.0,0.22222222222222224,2.9377893052770013e-19,police car,200,100
0.0,0.23232323232323235,4.551978818875452e-19,police car,200,100
0.0,0.24242424242424243,5.358436544486797e-20,police car,200,100
0.0,0.25252525252525254,2.7566832292931545e-19,police car,200,100
0.0,0.26262626262626265,2.386235301021924e-18,police car,200,100
0.0,0.27272727272727276,8.925706633702097e-20,police car,200,100
0.0,0.2828282828282829,7.494141032371703e-19,police car,200,100
0.0,0.29292929292929293,6.576370492577424e-20,police car,200,100
0.0,0.30303030303030304,2.3937599870505273e-19,police car,200,100
0.0,0.31313131313131315,7.011737111979552e-19,police car,200,100
0.0,0.32323232323232326,6.2864757215684285e-19,police car,200,100
0.0,0.33333333333333337,1.170723753379525e-19,police car,200,100
0.0,0.3434343434343435,1.4248263817294354e-19,police car,200,100
0.0,0.3535353535353536,6.316780768654253e-20,police car,200,100
0.0,0.36363636363636365,1.537230941942907e-19,police car,200,100
0.0,0.37373737373737376,8.502337446900311e-20,police car,200,100
0.0,0.38383838383838387,2.483691624941896e-19,police car,200,100
0.0,0.393939393939394,1.4894884110798506e-19,police car,200,100
0.0,0.4040404040404041,1.4505044344750762e-19,police car,200,100
0.0,0.4141414141414142,2.150158445065159e-18,police car,200,100
0.0,0.42424242424242425,4.870858423769902e-19,police car,200,100
0.0,0.43434343434343436,6.788678794293981e-19,police car,200,100
0.0,0.4444444444444445,1.956742771154905e-18,police car,200,100
0.0,0.4545454545454546,3.5092041270706494e-19,police car,200,100
0.0,0.4646464646464647,1.88877718817375e-19,police car,200,100
0.0,0.4747474747474748,1.0510065464114657e-19,police car,200,100
0.0,0.48484848484848486,4.2232057390384796e-19,police car,200,100
0.0,0.494949494949495,6.743390122480229e-19,police car,200,100
0.0,0.5050505050505051,2.3907649467876535e-19,police car,200,100
0.0,0.5151515151515152,1.7738499154242795e-19,police car,200,100
0.0,0.5252525252525253,1.892088800701452e-19,police car,200,100
0.0,0.5353535353535354,6.246719174326938e-19,police car,200,100
0.0,0.5454545454545455,1.100712124774995e-19,police car,200,100
0.0,0.5555555555555556,3.354641434860853e-20,police car,200,100
0.0,0.5656565656565657,4.843358618755237e-20,police car,200,100
0.0,0.5757575757575758,8.823187118075693e-20,police car,200,100
0.0,0.5858585858585859,6.359805230088546e-19,police car,200,100
