myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,4.15426043804287e-15,police car,200,100
0.0,0.010101010101010102,8.492247161413475e-16,police car,200,100
0.0,0.020202020202020204,2.795822616738191e-15,police car,200,100
0.0,0.030303030303030304,1.5500520692588991e-15,police car,200,100
0.0,0.04040404040404041,4.527593237960853e-15,police car,200,100
0.0,0.05050505050505051,3.655234338943456e-15,police car,200,100
0.0,0.06060606060606061,4.143744805296107e-14,police car,200,100
0.0,0.07070707070707072,3.352897234100384e-15,police car,200,100
0.0,0.08080808080808081,3.8898121001872384e-14,police car,200,100
0.0,0.09090909090909091,3.307992719357852e-15,police car,200,100
0.0,0.10101010101010102,3.873093995637017e-15,police car,200,100
0.0,0.11111111111111112,9.228718613020251e-15,police car,200,100
0.0,0.12121212121212122,1.1861406174183776e-15,police car,200,100
0.0,0.13131313131313133,1.3014906059077042e-15,police car,200,100
0.0,0.14141414141414144,3.751761874796328e-15,police car,200,100
0.0,0.15151515151515152,4.09994861414579e-14,police car,200,100
0.0,0.16161616161616163,1.1639662335260486e-15,police car,200,100
0.0,0.17171717171717174,1.0395368030271444e-15,police car,200,100
0.0,0.18181818181818182,1.1868115018588838e-14,police car,200,100
0.0,0.19191919191919193,2.276122153988723e-15,police car,200,100
0.0,0.20202020202020204,2.8039032026606948e-15,police car,200,100
0.0,0.21212121212121213,5.601960108882833e-15,police car,200,100
0.0,0.22222222222222224,9.017041434876382e-16,police car,200,100
0.0,0.23232323232323235,2.283721084121632e-15,police car,200,100
0.0,0.24242424242424243,9.880198881157343e-15,police car,200,100
0.0,0.25252525252525254,1.0863253160101173e-14,police car,200,100
0.0,0.26262626262626265,2.630356598389791e-15,police car,200,100
0.0,0.27272727272727276,9.087861188424775e-15,police car,200,100
0.0,0.2828282828282829,2.522318015532393e-15,police car,200,100
0.0,0.29292929292929293,3.4873133530367868e-15,police car,200,100
0.0,0.30303030303030304,5.322511584214211e-15,police car,200,100
0.0,0.31313131313131315,5.283614695434777e-15,police car,200,100
0.0,0.32323232323232326,7.27212823171664e-16,police car,200,100
0.0,0.33333333333333337,1.7594602973574966e-14,police car,200,100
0.0,0.3434343434343435,4.449169801061323e-15,police car,200,100
0.0,0.3535353535353536,2.3180756473300963e-14,police car,200,100
0.0,0.36363636363636365,9.155101594164937e-15,police car,200,100
0.0,0.37373737373737376,2.1981082815593544e-15,police car,200,100
0.0,0.38383838383838387,8.198713728406867e-15,police car,200,100
0.0,0.393939393939394,9.563770645546386e-16,police car,200,100
0.0,0.4040404040404041,6.922337384691842e-15,police car,200,100
0.0,0.4141414141414142,8.972595461116747e-14,police car,200,100
0.0,0.42424242424242425,3.9161598601678e-15,police car,200,100
0.0,0.43434343434343436,5.1396966781692046e-15,police car,200,100
0.0,0.4444444444444445,3.77468955363158e-15,police car,200,100
0.0,0.4545454545454546,1.6517488380178476e-15,police car,200,100
0.0,0.4646464646464647,1.69851996143459e-15,police car,200,100
0.0,0.4747474747474748,7.767471895688224e-15,police car,200,100
0.0,0.48484848484848486,4.224183065532699e-15,police car,200,100
0.0,0.494949494949495,1.2482749673484386e-14,police car,200,100
0.0,0.5050505050505051,1.7273563160504184e-15,police car,200,100
0.0,0.5151515151515152,1.0256255191540262e-15,police car,200,100
0.0,0.5252525252525253,1.3020951110629211e-14,police car,200,100
0.0,0.5353535353535354,2.9264276598109384e-19,police car,200,100
0.0,0.5454545454545455,4.631388519991796e-20,police car,200,100
0.0,0.5555555555555556,6.063912318868733e-20,police car,200,100
0.0,0.5656565656565657,7.057161204769738e-24,police car,200,100
0.0,0.5757575757575758,8.22417609610256e-24,police car,200,100
0.0,0.5858585858585859,4.9237763412773445e-24,police car,200,100
0.0,0.595959595959596,2.3049632254304224e-28,police car,200,100
0.0,0.6060606060606061,6.863441514005532e-32,police car,200,100
0.0,0.6161616161616162,2.6395052582933663e-28,police car,200,100
0.0,0.6262626262626263,7.101349894244736e-37,police car,200,100
0.0,0.6363636363636365,5.415716429299713e-41,police car,200,100
0.0,0.6464646464646465,6.654068679566388e-41,police car,200,100
0.0,0.6565656565656566,1.079450230556288e-27,police car,200,100
0.0,0.6666666666666667,1.1196675047630457e-44,police car,200,100
0.0,0.6767676767676768,2.478201847131388e-45,police car,200,100
0.0,0.686868686868687,9.440065083152791e-29,police car,200,100
0.0,0.696969696969697,5.68352553689637e-54,police car,200,100
0.0,0.7070707070707072,2.6376910645066324e-49,police car,200,100
0.0,0.7171717171717172,2.1223740966037412e-49,police car,200,100
0.0,0.7272727272727273,3.1249926579506386e-53,police car,200,100
0.0,0.7373737373737375,2.404504270719319e-54,police car,200,100
0.0,0.7474747474747475,1.1880072615966704e-53,police car,200,100
0.0,0.7575757575757577,6.788870088843686e-58,police car,200,100
0.0,0.7676767676767677,2.3660347218445175e-50,police car,200,100
0.0,0.7777777777777778,7.409643701790389e-59,police car,200,100
0.0,0.787878787878788,7.884983575441735e-50,police car,200,100
0.0,0.797979797979798,3.057416509986274e-46,police car,200,100
0.0,0.8080808080808082,8.105404706332733e-55,police car,200,100
0.0,0.8181818181818182,4.949731811292104e-46,police car,200,100
0.0,0.8282828282828284,2.1041106906932106e-58,police car,200,100
0.0,0.8383838383838385,1.5986207705044787e-54,police car,200,100
0.0,0.8484848484848485,3.798305002691459e-58,police car,200,100
0.0,0.8585858585858587,5.8318060714881e-58,police car,200,100
0.0,0.8686868686868687,1.5410313104747924e-58,police car,200,100
0.0,0.8787878787878789,2.0436353734402536e-58,police car,200,100
0.0,0.888888888888889,1.0611882615240225e-58,police car,200,100
0.0,0.8989898989898991,1.1957358594620704e-58,police car,200,100
0.0,0.9090909090909092,9.37296107996647e-58,police car,200,100
0.0,0.9191919191919192,2.9402215595739878e-58,police car,200,100
0.0,0.9292929292929294,9.557841515301483e-55,police car,200,100
0.0,0.9393939393939394,1.8371158355158032e-59,police car,200,100
0.0,0.9494949494949496,3.4935259622402556e-58,police car,200,100
0.0,0.9595959595959597,2.2577319223073645e-58,police car,200,100
0.0,0.9696969696969697,2.6671442851251095e-58,police car,200,100
0.0,0.9797979797979799,5.763146083345962e-58,police car,200,100
0.0,0.98989898989899,1.9811318830729455e-54,police car,200,100
0.0,1.0,6.407099454093607e-59,police car,200,100
0.010101010101010102,0.0,5.197621688809423e-15,police car,200,100
0.010101010101010102,0.010101010101010102,3.299499910049449e-15,police car,200,100
0.010101010101010102,0.020202020202020204,3.4983193896397266e-15,police car,200,100
0.010101010101010102,0.030303030303030304,1.3512402542673778e-15,police car,200,100
0.010101010101010102,0.04040404040404041,3.688932708654032e-15,police car,200,100
0.010101010101010102,0.05050505050505051,3.699358816076019e-16,police car,200,100
0.010101010101010102,0.06060606060606061,2.8416661001729595e-15,police car,200,100
0.010101010101010102,0.07070707070707072,4.523970909263367e-15,police car,200,100
0.010101010101010102,0.08080808080808081,3.0949870151391085e-15,police car,200,100
0.010101010101010102,0.09090909090909091,3.813774874234901e-15,police car,200,100
0.010101010101010102,0.10101010101010102,1.385166665820672e-15,police car,200,100
0.010101010101010102,0.11111111111111112,7.707397967770966e-15,police car,200,100
0.010101010101010102,0.12121212121212122,1.1122035638153802e-15,police car,200,100
0.010101010101010102,0.13131313131313133,2.667197072902435e-16,police car,200,100
0.010101010101010102,0.14141414141414144,4.66593316556498e-15,police car,200,100
0.010101010101010102,0.15151515151515152,9.802606702152442e-15,police car,200,100
0.010101010101010102,0.16161616161616163,6.022243138704024e-15,police car,200,100
0.010101010101010102,0.17171717171717174,3.207558491143425e-15,police car,200,100
0.010101010101010102,0.18181818181818182,2.5794091570244408e-14,police car,200,100
0.010101010101010102,0.19191919191919193,8.239680585992475e-16,police car,200,100
0.010101010101010102,0.20202020202020204,5.06149482367286e-15,police car,200,100
0.010101010101010102,0.21212121212121213,4.706780812294694e-15,police car,200,100
0.010101010101010102,0.22222222222222224,3.753278253370586e-15,police car,200,100
0.010101010101010102,0.23232323232323235,3.4573240045630732e-15,police car,200,100
0.010101010101010102,0.24242424242424243,4.791499720627257e-15,police car,200,100
0.010101010101010102,0.25252525252525254,2.254039826854922e-14,police car,200,100
0.010101010101010102,0.26262626262626265,5.6094622046759705e-15,police car,200,100
0.010101010101010102,0.27272727272727276,5.0480290102357954e-14,police car,200,100
0.010101010101010102,0.2828282828282829,5.42248893322572e-16,police car,200,100
0.010101010101010102,0.29292929292929293,5.849813892274162e-16,police car,200,100
0.010101010101010102,0.30303030303030304,5.4007010350516895e-15,police car,200,100
0.010101010101010102,0.31313131313131315,3.0460306906866042e-15,police car,200,100
0.010101010101010102,0.32323232323232326,9.943849292545104e-15,police car,200,100
0.010101010101010102,0.33333333333333337,1.654030897850066e-14,police car,200,100
0.010101010101010102,0.3434343434343435,5.898504549934676e-15,police car,200,100
0.010101010101010102,0.3535353535353536,5.509016898874574e-15,police car,200,100
0.010101010101010102,0.36363636363636365,2.2288142491262045e-15,police car,200,100
0.010101010101010102,0.37373737373737376,5.1618807811698815e-15,police car,200,100
0.010101010101010102,0.38383838383838387,1.0185488741974972e-14,police car,200,100
0.010101010101010102,0.393939393939394,3.381574889856498e-15,police car,200,100
0.010101010101010102,0.4040404040404041,6.30994085258985e-14,police car,200,100
0.010101010101010102,0.4141414141414142,2.680134205890543e-15,police car,200,100
0.010101010101010102,0.42424242424242425,1.414856718060048e-15,police car,200,100
0.010101010101010102,0.43434343434343436,4.196340397649499e-15,police car,200,100
0.010101010101010102,0.4444444444444445,4.15412112406174e-15,police car,200,100
0.010101010101010102,0.4545454545454546,9.116818120046708e-16,police car,200,100
0.010101010101010102,0.4646464646464647,1.7702979968106767e-15,police car,200,100
0.010101010101010102,0.4747474747474748,4.72754804642012e-15,police car,200,100
0.010101010101010102,0.48484848484848486,1.380116239923487e-15,police car,200,100
0.010101010101010102,0.494949494949495,1.3356163325443426e-14,police car,200,100
0.010101010101010102,0.5050505050505051,4.474679299180293e-19,police car,200,100
0.010101010101010102,0.5151515151515152,1.6947977562157968e-15,police car,200,100
0.010101010101010102,0.5252525252525253,3.13538095400843e-15,police car,200,100
0.010101010101010102,0.5353535353535354,1.069886901838015e-19,police car,200,100
0.010101010101010102,0.5454545454545455,2.8402627635337683e-15,police car,200,100
0.010101010101010102,0.5555555555555556,2.879267763705352e-19,police car,200,100
0.010101010101010102,0.5656565656565657,3.4390393261560683e-15,police car,200,100
0.010101010101010102,0.5757575757575758,5.03308897112291e-24,police car,200,100
0.010101010101010102,0.5858585858585859,1.4537914819104271e-31,police car,200,100
0.010101010101010102,0.595959595959596,8.821906411549553e-20,police car,200,100
0.010101010101010102,0.6060606060606061,1.088935759056917e-23,police car,200,100
0.010101010101010102,0.6161616161616162,4.016594758217731e-36,police car,200,100
0.010101010101010102,0.6262626262626263,2.0103996751009433e-36,police car,200,100
0.010101010101010102,0.6363636363636365,3.7159883809698393e-36,police car,200,100
0.010101010101010102,0.6464646464646465,2.7366082858104605e-33,police car,200,100
0.010101010101010102,0.6565656565656566,1.7221737988034574e-44,police car,200,100
0.010101010101010102,0.6666666666666667,5.648682506898094e-32,police car,200,100
0.010101010101010102,0.6767676767676768,3.397765493680604e-45,police car,200,100
0.010101010101010102,0.686868686868687,3.6847275742901844e-49,police car,200,100
0.010101010101010102,0.696969696969697,6.590839187049506e-54,police car,200,100
0.010101010101010102,0.7070707070707072,3.7559125657715814e-49,police car,200,100
0.010101010101010102,0.7171717171717172,2.974557276806424e-53,police car,200,100
0.010101010101010102,0.7272727272727273,1.4858608351400738e-49,police car,200,100
0.010101010101010102,0.7373737373737375,2.58359359410058e-53,police car,200,100
0.010101010101010102,0.7474747474747475,3.4758426718956214e-49,police car,200,100
0.010101010101010102,0.7575757575757577,1.9147515523609348e-57,police car,200,100
0.010101010101010102,0.7676767676767677,2.4589207288086526e-57,police car,200,100
0.010101010101010102,0.7777777777777778,2.0400189805263915e-41,police car,200,100
0.010101010101010102,0.787878787878788,1.0862634400630586e-49,police car,200,100
0.010101010101010102,0.797979797979798,3.679758901946918e-58,police car,200,100
0.010101010101010102,0.8080808080808082,5.23243260112918e-53,police car,200,100
