grass_capacity,population,utility
10,100,-97.34792335433289
20,100,1.80925286689828
30,100,2.6491749245417493
40,100,4.4736254293504025
50,100,1.8600558345099956
60,100,1.7604056809908397
70,100,2.628265489673499
80,100,3.570084659039821
90,100,3.493666340031371
100,100,3.5430370410690775
110,100,0.0
120,100,1.752043399683618
130,100,3.613520486698409
140,100,2.668957383820191
150,100,1.7364672116944089
160,100,3.5183889109779813
170,100,0.8959018645377816
180,100,1.7791910436091507
190,100,0.9076651972556533
200,100,0.8669312546318559
