myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,7.992793054650428e-10,a friend,100,100
0.0,0.010101010101010102,2.8246599700464595e-10,a friend,100,100
0.0,0.020202020202020204,4.513686938520792e-10,a friend,100,100
0.0,0.030303030303030304,4.778572720618365e-10,a friend,100,100
0.0,0.04040404040404041,7.68514965849132e-10,a friend,100,100
0.0,0.05050505050505051,5.559916476220674e-11,a friend,100,100
0.0,0.06060606060606061,3.0876466977040258e-09,a friend,100,100
0.0,0.07070707070707072,5.073087542750915e-10,a friend,100,100
0.0,0.08080808080808081,1.2867123605323327e-09,a friend,100,100
0.0,0.09090909090909091,2.414063151005394e-10,a friend,100,100
0.0,0.10101010101010102,2.0589357848022812e-10,a friend,100,100
0.0,0.11111111111111112,5.169622274997669e-10,a friend,100,100
0.0,0.12121212121212122,4.484500865178603e-10,a friend,100,100
0.0,0.13131313131313133,3.8646113401672014e-10,a friend,100,100
0.0,0.14141414141414144,3.595709178718309e-11,a friend,100,100
0.0,0.15151515151515152,6.323952756029246e-10,a friend,100,100
0.0,0.16161616161616163,2.9287308716743575e-10,a friend,100,100
0.0,0.17171717171717174,1.7097963821033422e-10,a friend,100,100
0.0,0.18181818181818182,1.1020334784022826e-09,a friend,100,100
0.0,0.19191919191919193,1.903993097810998e-10,a friend,100,100
0.0,0.20202020202020204,1.9747280807577407e-10,a friend,100,100
0.0,0.21212121212121213,2.0025857721563943e-10,a friend,100,100
0.0,0.22222222222222224,2.2890938191575502e-10,a friend,100,100
0.0,0.23232323232323235,4.304350444248672e-10,a friend,100,100
0.0,0.24242424242424243,9.18850764964381e-10,a friend,100,100
0.0,0.25252525252525254,1.8717489896937666e-14,a friend,100,100
0.0,0.26262626262626265,9.094080136454846e-15,a friend,100,100
0.0,0.27272727272727276,1.9588442404499676e-10,a friend,100,100
0.0,0.2828282828282829,4.7962962495149035e-27,a friend,100,100
0.0,0.29292929292929293,1.2129402888021775e-36,a friend,100,100
0.0,0.30303030303030304,7.571497316306604e-41,a friend,100,100
0.0,0.31313131313131315,6.514173061782469e-49,a friend,100,100
0.0,0.32323232323232326,1.2686731949148757e-53,a friend,100,100
0.0,0.33333333333333337,2.2735949785087695e-54,a friend,100,100
0.0,0.3434343434343435,4.684016603067278e-54,a friend,100,100
0.0,0.3535353535353536,2.9031961278276592e-49,a friend,100,100
0.0,0.36363636363636365,1.3398090072281384e-53,a friend,100,100
0.0,0.37373737373737376,9.914341458094563e-54,a friend,100,100
0.0,0.38383838383838387,3.0011534960309404e-49,a friend,100,100
0.0,0.393939393939394,6.4743892934691965e-53,a friend,100,100
0.0,0.4040404040404041,3.032152230075291e-53,a friend,100,100
0.0,0.4141414141414142,7.18961568141705e-53,a friend,100,100
0.0,0.42424242424242425,9.834354797491752e-54,a friend,100,100
0.0,0.43434343434343436,3.0879252668293263e-54,a friend,100,100
0.0,0.4444444444444445,5.5380809323885075e-53,a friend,100,100
0.0,0.4545454545454546,1.9338013278053163e-53,a friend,100,100
0.0,0.4646464646464647,7.105744313724845e-53,a friend,100,100
0.0,0.4747474747474748,9.801249830913997e-54,a friend,100,100
0.0,0.48484848484848486,7.070517053832777e-54,a friend,100,100
0.0,0.494949494949495,1.3122684988678367e-53,a friend,100,100
0.0,0.5050505050505051,9.49845963054738e-54,a friend,100,100
0.0,0.5151515151515152,5.647588114930762e-54,a friend,100,100
0.0,0.5252525252525253,5.044694576691372e-54,a friend,100,100
0.0,0.5353535353535354,3.125246334173391e-53,a friend,100,100
0.0,0.5454545454545455,6.342182141991051e-53,a friend,100,100
0.0,0.5555555555555556,6.783665424230382e-54,a friend,100,100
0.0,0.5656565656565657,7.558870206509325e-54,a friend,100,100
0.0,0.5757575757575758,3.384027210896847e-54,a friend,100,100
0.0,0.5858585858585859,6.25091513693972e-53,a friend,100,100
0.0,0.595959595959596,1.487456756375053e-53,a friend,100,100
0.0,0.6060606060606061,9.137481284766803e-54,a friend,100,100
0.0,0.6161616161616162,9.71746453424948e-53,a friend,100,100
0.0,0.6262626262626263,6.578923178923204e-53,a friend,100,100
0.0,0.6363636363636365,4.715860473382509e-54,a friend,100,100
0.0,0.6464646464646465,1.6391618686927829e-53,a friend,100,100
0.0,0.6565656565656566,1.1486040917422647e-53,a friend,100,100
0.0,0.6666666666666667,1.8943213429248614e-52,a friend,100,100
0.0,0.6767676767676768,1.0177270667283879e-53,a friend,100,100
0.0,0.686868686868687,3.1898822406909415e-53,a friend,100,100
0.0,0.696969696969697,1.0684295508056061e-53,a friend,100,100
0.0,0.7070707070707072,2.1045598719410184e-53,a friend,100,100
0.0,0.7171717171717172,3.3242970901035988e-53,a friend,100,100
0.0,0.7272727272727273,8.93150639505563e-54,a friend,100,100
0.0,0.7373737373737375,2.9817787404462046e-53,a friend,100,100
0.0,0.7474747474747475,3.705131134652918e-54,a friend,100,100
0.0,0.7575757575757577,9.20767003656075e-54,a friend,100,100
0.0,0.7676767676767677,1.9235593232972734e-54,a friend,100,100
0.0,0.7777777777777778,8.285227302224521e-54,a friend,100,100
0.0,0.787878787878788,6.046541346592064e-53,a friend,100,100
0.0,0.797979797979798,4.719667486381298e-54,a friend,100,100
0.0,0.8080808080808082,2.4286233499413704e-54,a friend,100,100
0.0,0.8181818181818182,6.09410275463929e-54,a friend,100,100
0.0,0.8282828282828284,9.092020697277159e-54,a friend,100,100
0.0,0.8383838383838385,8.94718776928078e-54,a friend,100,100
0.0,0.8484848484848485,4.047918120991331e-54,a friend,100,100
0.0,0.8585858585858587,3.075528481189754e-54,a friend,100,100
0.0,0.8686868686868687,1.49347938865246e-53,a friend,100,100
0.0,0.8787878787878789,7.977191533750339e-54,a friend,100,100
0.0,0.888888888888889,5.548665923090313e-53,a friend,100,100
0.0,0.8989898989898991,1.0224897640858997e-53,a friend,100,100
0.0,0.9090909090909092,5.007154345908606e-54,a friend,100,100
0.0,0.9191919191919192,9.89347715972068e-54,a friend,100,100
0.0,0.9292929292929294,1.3456284399588354e-54,a friend,100,100
0.0,0.9393939393939394,3.6573797378181247e-54,a friend,100,100
0.0,0.9494949494949496,5.323384386080663e-53,a friend,100,100
0.0,0.9595959595959597,1.085599934674385e-53,a friend,100,100
0.0,0.9696969696969697,1.2562347516970683e-54,a friend,100,100
0.0,0.9797979797979799,7.249201931840249e-54,a friend,100,100
0.0,0.98989898989899,5.438228932447074e-54,a friend,100,100
0.0,1.0,1.3431909662661897e-54,a friend,100,100
0.010101010101010102,0.0,3.477057179173324e-10,a friend,100,100
0.010101010101010102,0.010101010101010102,7.800672084318571e-11,a friend,100,100
0.010101010101010102,0.020202020202020204,2.8058718795643474e-10,a friend,100,100
0.010101010101010102,0.030303030303030304,1.6972532689913315e-10,a friend,100,100
0.010101010101010102,0.04040404040404041,5.451192415699744e-11,a friend,100,100
0.010101010101010102,0.05050505050505051,9.494681639137027e-11,a friend,100,100
0.010101010101010102,0.06060606060606061,4.514244061771849e-10,a friend,100,100
0.010101010101010102,0.07070707070707072,1.1254233134308965e-09,a friend,100,100
0.010101010101010102,0.08080808080808081,7.309241107835121e-11,a friend,100,100
0.010101010101010102,0.09090909090909091,3.3844817184392824e-10,a friend,100,100
0.010101010101010102,0.10101010101010102,2.2122610155764738e-11,a friend,100,100
0.010101010101010102,0.11111111111111112,3.680118569375089e-11,a friend,100,100
0.010101010101010102,0.12121212121212122,3.612019079669032e-11,a friend,100,100
0.010101010101010102,0.13131313131313133,1.5173865193977707e-10,a friend,100,100
0.010101010101010102,0.14141414141414144,4.312952229847876e-10,a friend,100,100
0.010101010101010102,0.15151515151515152,3.1495546432865063e-10,a friend,100,100
0.010101010101010102,0.16161616161616163,6.208677305839987e-10,a friend,100,100
0.010101010101010102,0.17171717171717174,1.6256028029402071e-10,a friend,100,100
0.010101010101010102,0.18181818181818182,8.205878345219077e-10,a friend,100,100
0.010101010101010102,0.19191919191919193,6.614916999193876e-10,a friend,100,100
0.010101010101010102,0.20202020202020204,2.3441331815651865e-11,a friend,100,100
0.010101010101010102,0.21212121212121213,5.909890454144807e-11,a friend,100,100
0.010101010101010102,0.22222222222222224,1.186547627873733e-10,a friend,100,100
0.010101010101010102,0.23232323232323235,1.0086182929964083e-10,a friend,100,100
0.010101010101010102,0.24242424242424243,3.4334448787736746e-10,a friend,100,100
0.010101010101010102,0.25252525252525254,2.2062731329666317e-18,a friend,100,100
0.010101010101010102,0.26262626262626265,1.4681574129308678e-15,a friend,100,100
0.010101010101010102,0.27272727272727276,2.6908154979398296e-19,a friend,100,100
0.010101010101010102,0.2828282828282829,5.1444278183583885e-28,a friend,100,100
0.010101010101010102,0.29292929292929293,4.8255894674607595e-23,a friend,100,100
0.010101010101010102,0.30303030303030304,1.9176098391399316e-36,a friend,100,100
0.010101010101010102,0.31313131313131315,3.96670034501316e-45,a friend,100,100
0.010101010101010102,0.32323232323232326,5.372071013995021e-53,a friend,100,100
0.010101010101010102,0.33333333333333337,4.602613702637055e-49,a friend,100,100
0.010101010101010102,0.3434343434343435,5.0661271139954244e-49,a friend,100,100
0.010101010101010102,0.3535353535353536,6.372723872719844e-53,a friend,100,100
0.010101010101010102,0.36363636363636365,9.350129402942764e-54,a friend,100,100
0.010101010101010102,0.37373737373737376,2.051047489682604e-53,a friend,100,100
0.010101010101010102,0.38383838383838387,7.657137429027257e-54,a friend,100,100
0.010101010101010102,0.393939393939394,2.833820160887174e-54,a friend,100,100
0.010101010101010102,0.4040404040404041,4.1088330190006597e-53,a friend,100,100
0.010101010101010102,0.4141414141414142,3.5002646915690047e-53,a friend,100,100
0.010101010101010102,0.42424242424242425,7.347723588196752e-53,a friend,100,100
0.010101010101010102,0.43434343434343436,5.351981202660461e-53,a friend,100,100
0.010101010101010102,0.4444444444444445,1.4266237655743085e-53,a friend,100,100
0.010101010101010102,0.4545454545454546,9.760125800747085e-54,a friend,100,100
0.010101010101010102,0.4646464646464647,5.206276782649071e-53,a friend,100,100
0.010101010101010102,0.4747474747474748,1.0019153818747739e-52,a friend,100,100
0.010101010101010102,0.48484848484848486,7.97499413652196e-53,a friend,100,100
0.010101010101010102,0.494949494949495,1.405248074917324e-53,a friend,100,100
0.010101010101010102,0.5050505050505051,3.6298686621397247e-54,a friend,100,100
0.010101010101010102,0.5151515151515152,4.82804761348798e-53,a friend,100,100
0.010101010101010102,0.5252525252525253,4.4817876149462055e-54,a friend,100,100
0.010101010101010102,0.5353535353535354,2.802524231383194e-53,a friend,100,100
0.010101010101010102,0.5454545454545455,6.253920507162698e-54,a friend,100,100
0.010101010101010102,0.5555555555555556,3.127628118059978e-54,a friend,100,100
0.010101010101010102,0.5656565656565657,2.4961656788226127e-53,a friend,100,100
0.010101010101010102,0.5757575757575758,3.433878144097074e-54,a friend,100,100
0.010101010101010102,0.5858585858585859,5.776018718722859e-53,a friend,100,100
0.010101010101010102,0.595959595959596,4.676688379273652e-53,a friend,100,100
0.010101010101010102,0.6060606060606061,1.874592321740863e-52,a friend,100,100
0.010101010101010102,0.6161616161616162,5.002522929062897e-53,a friend,100,100
0.010101010101010102,0.6262626262626263,6.495636956873831e-53,a friend,100,100
0.010101010101010102,0.6363636363636365,1.5396558170047e-53,a friend,100,100
0.010101010101010102,0.6464646464646465,1.803579548656662e-52,a friend,100,100
0.010101010101010102,0.6565656565656566,7.939214261280212e-54,a friend,100,100
0.010101010101010102,0.6666666666666667,2.0585921247909643e-53,a friend,100,100
0.010101010101010102,0.6767676767676768,1.1470396496231e-53,a friend,100,100
0.010101010101010102,0.686868686868687,4.3184371141442055e-53,a friend,100,100
0.010101010101010102,0.696969696969697,8.280123460566901e-53,a friend,100,100
0.010101010101010102,0.7070707070707072,2.1271148298996127e-53,a friend,100,100
0.010101010101010102,0.7171717171717172,5.155363269910323e-53,a friend,100,100
0.010101010101010102,0.7272727272727273,1.6291053122548518e-53,a friend,100,100
0.010101010101010102,0.7373737373737375,1.052835056177056e-53,a friend,100,100
0.010101010101010102,0.7474747474747475,5.837761032162039e-54,a friend,100,100
0.010101010101010102,0.7575757575757577,2.149025547012462e-53,a friend,100,100
0.010101010101010102,0.7676767676767677,1.045579160597628e-53,a friend,100,100
0.010101010101010102,0.7777777777777778,3.3099760928152905e-53,a friend,100,100
0.010101010101010102,0.787878787878788,6.392513089995384e-53,a friend,100,100
0.010101010101010102,0.797979797979798,1.0144983911530245e-52,a friend,100,100
0.010101010101010102,0.8080808080808082,7.464281517902765e-53,a friend,100,100
0.010101010101010102,0.8181818181818182,7.909483664110215e-54,a friend,100,100
0.010101010101010102,0.8282828282828284,3.8006392329383033e-53,a friend,100,100
0.010101010101010102,0.8383838383838385,2.62351231053003e-53,a friend,100,100
0.010101010101010102,0.8484848484848485,1.1839686186961527e-52,a friend,100,100
0.010101010101010102,0.8585858585858587,1.462294183044699e-53,a friend,100,100
0.010101010101010102,0.8686868686868687,3.287574640766958e-53,a friend,100,100
0.010101010101010102,0.8787878787878789,3.5925564392360397e-53,a friend,100,100
0.010101010101010102,0.888888888888889,1.328915632178172e-53,a friend,100,100
0.010101010101010102,0.8989898989898991,8.798143295922727e-54,a friend,100,100
0.010101010101010102,0.9090909090909092,4.692025733364816e-53,a friend,100,100
0.010101010101010102,0.9191919191919192,9.305393271188766e-53,a friend,100,100
0.010101010101010102,0.9292929292929294,2.738561774203277e-52,a friend,100,100
0.010101010101010102,0.9393939393939394,9.96588133468675e-53,a friend,100,100
0.010101010101010102,0.9494949494949496,6.835576500433184e-53,a friend,100,100
0.010101010101010102,0.9595959595959597,6.783382129971219e-53,a friend,100,100
0.010101010101010102,0.9696969696969697,1.2880539905828368e-53,a friend,100,100
0.010101010101010102,0.9797979797979799,4.771328760775579e-53,a friend,100,100
0.010101010101010102,0.98989898989899,1.5383507502482918e-52,a friend,100,100
0.010101010101010102,1.0,4.996908585487732e-53,a friend,100,100
0.020202020202020204,0.0,1.766991161239083e-10,a friend,100,100
0.020202020202020204,0.010101010101010102,1.4270283494484197e-10,a friend,100,100
0.020202020202020204,0.020202020202020204,1.4146913199813723e-10,a friend,100,100
0.020202020202020204,0.030303030303030304,1.8673783537197226e-09,a friend,100,100
0.020202020202020204,0.04040404040404041,2.1919551750636388e-10,a friend,100,100
0.020202020202020204,0.05050505050505051,9.242370501426055e-10,a friend,100,100
0.020202020202020204,0.06060606060606061,3.749195192125288e-11,a friend,100,100
0.020202020202020204,0.07070707070707072,4.8575360512968676e-11,a friend,100,100
0.020202020202020204,0.08080808080808081,6.324616484515898e-11,a friend,100,100
0.020202020202020204,0.09090909090909091,1.1481366806440048e-10,a friend,100,100
0.020202020202020204,0.10101010101010102,4.066056330499284e-11,a friend,100,100
0.020202020202020204,0.11111111111111112,7.13685986964035e-10,a friend,100,100
0.020202020202020204,0.12121212121212122,6.38117792923478e-11,a friend,100,100
0.020202020202020204,0.13131313131313133,3.0806122256737855e-10,a friend,100,100
0.020202020202020204,0.14141414141414144,6.20268913170343e-11,a friend,100,100
0.020202020202020204,0.15151515151515152,2.5766272786898404e-10,a friend,100,100
0.020202020202020204,0.16161616161616163,1.0948392940117086e-11,a friend,100,100
0.020202020202020204,0.17171717171717174,1.1586601174106053e-10,a friend,100,100
0.020202020202020204,0.18181818181818182,1.531173339618332e-10,a friend,100,100
0.020202020202020204,0.19191919191919193,6.467131591400998e-10,a friend,100,100
0.020202020202020204,0.20202020202020204,6.811187255613477e-11,a friend,100,100
0.020202020202020204,0.21212121212121213,1.6990799866250592e-10,a friend,100,100
0.020202020202020204,0.22222222222222224,6.169400122706261e-11,a friend,100,100
0.020202020202020204,0.23232323232323235,2.1415610246756777e-10,a friend,100,100
0.020202020202020204,0.24242424242424243,8.991748260344894e-14,a friend,100,100
0.020202020202020204,0.25252525252525254,9.7623000713719e-15,a friend,100,100
0.020202020202020204,0.26262626262626265,1.8084014133515474e-18,a friend,100,100
0.020202020202020204,0.27272727272727276,8.119385679145843e-15,a friend,100,100
0.020202020202020204,0.2828282828282829,1.8878694110809072e-31,a friend,100,100
0.020202020202020204,0.29292929292929293,1.0346238524295574e-35,a friend,100,100
0.020202020202020204,0.30303030303030304,3.576523481827196e-40,a friend,100,100
0.020202020202020204,0.31313131313131315,3.2365002697919947e-44,a friend,100,100
0.020202020202020204,0.32323232323232326,1.6587213092690588e-40,a friend,100,100
0.020202020202020204,0.33333333333333337,7.983964299237513e-49,a friend,100,100
0.020202020202020204,0.3434343434343435,2.57071318930787e-53,a friend,100,100
0.020202020202020204,0.3535353535353536,2.9637270490479586e-53,a friend,100,100
0.020202020202020204,0.36363636363636365,2.172096733087954e-52,a friend,100,100
0.020202020202020204,0.37373737373737376,4.6267766209831166e-49,a friend,100,100
0.020202020202020204,0.38383838383838387,1.4365029865723738e-52,a friend,100,100
0.020202020202020204,0.393939393939394,3.1581858823402203e-53,a friend,100,100
0.020202020202020204,0.4040404040404041,2.2726244617818823e-53,a friend,100,100
0.020202020202020204,0.4141414141414142,4.41935270596781e-53,a friend,100,100
0.020202020202020204,0.42424242424242425,1.0170398454631466e-52,a friend,100,100
0.020202020202020204,0.43434343434343436,3.361637751082796e-53,a friend,100,100
0.020202020202020204,0.4444444444444445,2.595234021237635e-53,a friend,100,100
0.020202020202020204,0.4545454545454546,2.6674275551648522e-53,a friend,100,100
0.020202020202020204,0.4646464646464647,1.7785488760904554e-52,a friend,100,100
0.020202020202020204,0.4747474747474748,2.3379403711561133e-53,a friend,100,100
0.020202020202020204,0.48484848484848486,1.8574450662548273e-53,a friend,100,100
0.020202020202020204,0.494949494949495,8.192063937309195e-54,a friend,100,100
0.020202020202020204,0.5050505050505051,1.2032213425860666e-52,a friend,100,100
0.020202020202020204,0.5151515151515152,6.320315771230838e-53,a friend,100,100
0.020202020202020204,0.5252525252525253,3.127164724155737e-52,a friend,100,100
0.020202020202020204,0.5353535353535354,1.7191449773987846e-53,a friend,100,100
0.020202020202020204,0.5454545454545455,3.4968159123671066e-52,a friend,100,100
0.020202020202020204,0.5555555555555556,6.025355740456058e-53,a friend,100,100
0.020202020202020204,0.5656565656565657,8.201774053145244e-54,a friend,100,100
0.020202020202020204,0.5757575757575758,3.746264640015661e-53,a friend,100,100
0.020202020202020204,0.5858585858585859,3.486079828990001e-53,a friend,100,100
0.020202020202020204,0.595959595959596,2.161795910771066e-53,a friend,100,100
0.020202020202020204,0.6060606060606061,3.808825032240573e-53,a friend,100,100
0.020202020202020204,0.6161616161616162,2.46324959871263e-53,a friend,100,100
0.020202020202020204,0.6262626262626263,1.7671828612543546e-52,a friend,100,100
0.020202020202020204,0.6363636363636365,1.0937718595164842e-52,a friend,100,100
0.020202020202020204,0.6464646464646465,3.2182481136562993e-52,a friend,100,100
0.020202020202020204,0.6565656565656566,3.0782217847573036e-53,a friend,100,100
0.020202020202020204,0.6666666666666667,5.1231007892980055e-53,a friend,100,100
0.020202020202020204,0.6767676767676768,1.1293587895571388e-52,a friend,100,100
0.020202020202020204,0.686868686868687,1.7188360093590053e-52,a friend,100,100
0.020202020202020204,0.696969696969697,5.1599104281597007e-54,a friend,100,100
0.020202020202020204,0.7070707070707072,1.2337994589944862e-52,a friend,100,100
0.020202020202020204,0.7171717171717172,4.690632687209974e-53,a friend,100,100
0.020202020202020204,0.7272727272727273,1.0686690697373573e-52,a friend,100,100
0.020202020202020204,0.7373737373737375,3.4830332386060555e-53,a friend,100,100
0.020202020202020204,0.7474747474747475,2.4082027529523573e-53,a friend,100,100
0.020202020202020204,0.7575757575757577,1.0191787101647832e-52,a friend,100,100
0.020202020202020204,0.7676767676767677,3.7545783448732587e-53,a friend,100,100
0.020202020202020204,0.7777777777777778,3.708326962649754e-53,a friend,100,100
0.020202020202020204,0.787878787878788,2.572628919332273e-53,a friend,100,100
0.020202020202020204,0.797979797979798,1.044476688740476e-52,a friend,100,100
0.020202020202020204,0.8080808080808082,7.380589050468363e-53,a friend,100,100
0.020202020202020204,0.8181818181818182,9.26388169460435e-53,a friend,100,100
0.020202020202020204,0.8282828282828284,5.465221114789229e-53,a friend,100,100
0.020202020202020204,0.8383838383838385,4.03391017713646e-53,a friend,100,100
0.020202020202020204,0.8484848484848485,2.3204575236879005e-52,a friend,100,100
0.020202020202020204,0.8585858585858587,2.13278241228382e-52,a friend,100,100
0.020202020202020204,0.8686868686868687,6.168482836957481e-53,a friend,100,100
0.020202020202020204,0.8787878787878789,3.4814056436794294e-52,a friend,100,100
0.020202020202020204,0.888888888888889,6.503175918027452e-53,a friend,100,100
0.020202020202020204,0.8989898989898991,1.042333638324561e-52,a friend,100,100
0.020202020202020204,0.9090909090909092,6.568625861908427e-53,a friend,100,100
0.020202020202020204,0.9191919191919192,4.717290755988443e-53,a friend,100,100
0.020202020202020204,0.9292929292929294,1.5857367131081466e-53,a friend,100,100
0.020202020202020204,0.9393939393939394,3.317440514750678e-53,a friend,100,100
0.020202020202020204,0.9494949494949496,1.2582389908645024e-52,a friend,100,100
0.020202020202020204,0.9595959595959597,2.9601107751689934e-53,a friend,100,100
0.020202020202020204,0.9696969696969697,5.598792370050957e-52,a friend,100,100
0.020202020202020204,0.9797979797979799,9.780620219663807e-53,a friend,100,100
0.020202020202020204,0.98989898989899,1.9888766023930446e-52,a friend,100,100
0.020202020202020204,1.0,1.0963517166742172e-52,a friend,100,100
0.030303030303030304,0.0,1.408572013637568e-10,a friend,100,100
0.030303030303030304,0.010101010101010102,7.270080378283215e-11,a friend,100,100
