Goal,Steps on grass,myopia,moral judgment
a friend,0,0.04650352691567956,95.34964730843204
a friend,1,0.055763838937916275,94.42361610620837
a friend,2,0.9947549188524691,0.5245081147530897
a friend,3,0.9961142260358846,0.38857739641153444
a friend,4,0.9963462774457498,0.3653722554250294
a friend,5,0.9965625103592267,0.343748964077335
a friend,6,0.9967642253727407,0.323577462725936
a friend,7,0.9969525908528908,0.30474091471091924
pain,0,0.04650352691567956,95.34964730843204
pain,1,0.055763838937916275,94.42361610620837
pain,2,0.0687613681289311,93.12386318710689
pain,3,0.08827590902170772,91.17240909782923
pain,4,0.12051847576240411,87.9481524237596
pain,5,0.18061542000628683,81.93845799937131
pain,6,0.2970342047546085,70.29657952453914
pain,7,0.5280856703337268,47.191432966627325
ice cream,0,0.04650352691567956,95.34964730843204
ice cream,1,0.055763838937916275,94.42361610620837
ice cream,2,0.9958649040899528,0.4135095910047255
ice cream,3,0.9961142260358846,0.38857739641153444
ice cream,4,0.9963462774457498,0.3653722554250294
ice cream,5,0.9965625103592267,0.343748964077335
ice cream,6,0.9967642253727407,0.323577462725936
ice cream,7,0.9969525908528908,0.30474091471091924
vac clinic,0,0.04650352691567956,95.34964730843204
vac clinic,1,0.055763838937916275,94.42361610620837
vac clinic,2,0.9935690731942459,0.6430926805754069
vac clinic,3,0.9961142260358846,0.38857739641153444
vac clinic,4,0.9963462774457498,0.3653722554250294
vac clinic,5,0.9965625103592267,0.343748964077335
vac clinic,6,0.9967642253727407,0.323577462725936
vac clinic,7,0.9969525908528908,0.30474091471091924
porta-potty,0,0.04650352691567956,95.34964730843204
porta-potty,1,0.055763838937916275,94.42361610620837
porta-potty,2,0.0687613681289311,93.12386318710689
porta-potty,3,0.08016092355599547,91.98390764440046
porta-potty,4,0.6278082958790565,37.21917041209435
porta-potty,5,0.992556634085982,0.7443365914017903
porta-potty,6,0.9967637239701012,0.32362760298988746
porta-potty,7,0.9969525908528796,0.3047409147120419
police car,0,0.04650352691567956,95.34964730843204
police car,1,0.055763838937916275,94.42361610620837
police car,2,0.0687613681289311,93.12386318710689
police car,3,0.14940170223092142,85.05982977690786
police car,4,0.7576733841627811,24.232661583721892
police car,5,0.996540323741842,0.34596762581580265
police car,6,0.9967642253698465,0.32357746301534007
police car,7,0.9969525908528908,0.30474091471091924
